Cosmetic Products Regulation, Annex III - Restricted Substances
Note: Group entries are split in different rows.
Export date: 06/05/2026 21:21:06
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	""	""	
"Name"	"EC / List no"	"CAS no"	"Ref No."	"Name"	"CAS"	"EC Number"	"Product type, body parts"	"Function(s)"	"Maximum Threshold"	"Minimum Threshold"	"Restriction(s)"	"Qualifier(s)"	"Expressed As"	"Warning Label"	"Notes"	
"(+)-Camphor"	"207-355-2"	"464-49-3"	"331"	"(+)-Camphor"	"464-49-3"	"207-355-2"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"(-)-Camphor"	"207-354-7"	"464-48-2"	"331"	"(-)-Camphor"	"464-48-2"	"207-354-7"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"(1R)-alpha-Pinene"	"232-087-8"	"7785-70-8"	"371"	"(1R)-alpha-Pinene"	"7785-70-8"	"232-087-8"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off productsPeroxide value less than 10 mmoles/L"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028Since that substance is a monoterpene, it is subject to the restriction on peroxide value set out in entry 130"	
"(1R,4E,9S)-4,11,11-Trimethyl-8-methylenebicyclo [7.2.0]undec-4-ene"	"201-746-1"	"87-44-5"	"332"	"(1R,4E,9S)-4,11,11-Trimethyl-8-methylenebicyclo [7.2.0]undec-4-ene"	"87-44-5"	"201-746-1"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"(1S)-beta-Pinene"	"242-060-2"	"18172-67-3"	"371"	"(1S)-beta-Pinene"	"18172-67-3"	"242-060-2"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off productsPeroxide value less than 10 mmoles/L"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028Since that substance is a monoterpene, it is subject to the restriction on peroxide value set out in entry 130"	
"(1S-(1a,2a(Z),4a))-2-Methyl-5-(2-methyl-3-methylenebicyclo[2.2.1]hept-2-yl)-2-penten-l-ol;beta-Santalol"	"201-027-2"	"77-42-9"	"341"	"beta-Santalol(1S-(1a,2a(Z),4a))-2-Methyl-5-(2-methyl-3-methylenebicyclo[2.2.1]hept-2-yl)-2-penten-l-ol"	"77-42-9"	"201-027-2"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"(2E,4E,6E,8E)-3,7-Dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraen-1-ol"	"200-683-7"	"68-26-8"	"376"	"(2E,4E,6E,8E)-3,7-Dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraen-1-ol"	"68-26-8"	"200-683-7"	"Leave-on and rinse-off products other than body lotion"	""	"0.3 %"	""	""	""	"As retinol equivalent"	"For any cosmetic product containing Retinol, Retinyl Acetate or Retinyl Palmitate the following, labelling is obligatory: &#39;&#39;Contains Vitamin A. Consider your daily intake before use&#39;&#39;"	"From 1 November 2025 cosmetic products containing that substance and not complying with the conditions shall not be placed on the Union market. From 1 May 2027 cosmetic products containing that substance and not complying with the conditions shall not be made available on the Union market"	
"(2E,4E,6E,8E)-3,7-Dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraen-1-ol"	"200-683-7"	"68-26-8"	"376"	"(2E,4E,6E,8E)-3,7-Dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraen-1-ol"	"68-26-8"	"200-683-7"	"Body lotion"	""	"0.05 %"	""	""	""	"As retinol equivalent"	"For any cosmetic product containing Retinol, Retinyl Acetate or Retinyl Palmitate the following, labelling is obligatory: &#39;&#39;Contains Vitamin A. Consider your daily intake before use&#39;&#39;"	"From 1 November 2025 cosmetic products containing that substance and not complying with the conditions shall not be placed on the Union market. From 1 May 2027 cosmetic products containing that substance and not complying with the conditions shall not be made available on the Union market"	
"(3R)-3,7-Dimethyloct-6-en-1-ol"	"214-250-5"	"1117-61-9"	"86"	"(3R)-3,7-Dimethyloct-6-en-1-ol"	"1117-61-9"	"214-250-5"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	""	
"(3S)-3,7-Dimethyloct-6-en-1-ol"	"231-415-7"	"7540-51-4"	"86"	"(3S)-3,7-Dimethyloct-6-en-1-ol"	"7540-51-4"	"231-415-7"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	""	
"(5R)-2-Methyl-5-prop-1-en-2-ylcyclohex-2-en-l-one"	"229-352-5"	"6485-40-1"	"333"	"(5R)-2-Methyl-5-prop-1-en-2-ylcyclohex-2-en-l-one"	"6485-40-1"	"229-352-5"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"(5S)-2-Methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one"	"218-827-2"	"2244-16-8"	"333"	"(5S)-2-Methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one"	"2244-16-8"	"218-827-2"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"(E)-1-(2,4,4-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-one;Isodamascone;trans-Rose ketone-5"	"254-663-8"	"39872-57-6"	"159"	"(E)-1-(2,4,4-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-onetrans-Rose ketone-5Isodamascone"	"39872-57-6"	"254-663-8"	"All cosmetic products"	""	"0.02 %"	""	""	""	""	""	"The sum of those substances used in combination should not exceed the limits given as &#39;Maximum concentration in ready for use preparation&#39;"	
