,,,,,,,,File creation date: 09/05/2026,
,,,,"ANNEX V,Last update: 08/05/2026",,,,,
,,,,LIST OF PRESERVATIVES ALLOWED IN COSMETIC PRODUCTS,,,,,
,,Substance identification,,,,Conditions,,,
Reference,,Name of Common Ingredients,,,,Maximum concentration in,,Wording of conditions of use,
Number,Chemical name / INN,Glossary,CAS Number,EC Number,"Product Type, body parts",ready for use preparation,Other,and warnings,Update date
1a,Salts of benzoic acid other than,AMMONIUM BENZOATE / BUTYL,1863-63-4,217-468-9 /,0.5% (acid),,,,16/10/2010
,that listed under reference,BENZOATE / CALCIUM BENZOATE,/2090-05-3 /,218-235-4 /,,,,,
,number 1 and esters of benzoic,/ ETHYL BENZOATE / ISOBUTYL,582-25-2 /,209-481-3 /,,,,,
,acid,BENZOATE / ISOPROPYL,553-70-8 /,209-045-2 /,,,,,
,,BENZOATE / MAGNESIUM,4337-66-0 /,224-387-2 /,,,,,
,,BENZOATE / MEA-BENZOATE /,93-58-3 / 93-,202-259-7 /,,,,,
,,METHYL BENZOATE / PHENYL,89-0 / 2315-,202-284-3 /,,,,,
,,BENZOATE / POTASSIUM,68-6 / 136-,219-020-8 /,,,,,
,,BENZOATE / PROPYL BENZOATE,60-7 / 1205-,205-252-7 /,,,,,
,,,50-3 / 939-,204-401-3 /,,,,,
,,,48-0 / 93-99-,213-361-6 /,,,,,
,,,2,202-293-2,,,,,
1,Benzoic acid and its sodium salt,BENZOIC ACID; SODIUM,65-85-0 /,200-618-2 /,a) 2.5% (acid),,,,25/10/2010
,,BENZOATE,532-32-1,208-534-8,b) 1.7% (acid),,,,
,,,,,c) 0.5% (acid),,,,
2,Propionic acid and its salts,PROPIONIC ACID / AMMONIUM,79-09-4 /,201-176-3 /,2% (acid),,,,16/10/2010
,,PROPIONATE / CALCIUM,17496-08-1 /,241-503-7 /,,,,,
,,PROPIONATE / MAGNESIUM,4075-81-4 /,223-795-8 /,,,,,
,,PROPIONATE / POTASSIUM,557-27-7 /,209-166-0 /,,,,,
,,PROPIONATE / SODIUM,327-62-8 /,206-323-5 /,,,,,
,,PROPIONATE,137-40-6,205-290-4,,,,,
3,Salicylic acid and its salts,"SALICYLIC ACID, CALCIUM",69-72-7[1]/,200-712-,"Salicylic acid: 0,5 % (acid)",Salicylic acid:,Salicylic acid:,,27/07/2020
,,"SALICYLATE, MAGNESIUM",824-35-1[2]/,3[1]/ 212-,,,Not to be used for children under,,
,,"SALICYLATE, MEA- SALICYLATE,",18917-89-,525-4[2]/,"Salicylic acid salts: 0,5 % (acid)",Not to be used in products for,3 years of age**,,
,,"SODIUM SALICYLATE, POTASSIUM",0[3]/ 59866-,242-669-,,children under 3 years of age.,**Solely for products which,,
,,"SALICYLATE, TEA- SALICYLATE",70-5[4]/ 54-,3[3]/ 261-,,Not to be used in oral products.,might be used for children under,,
